SL NO,Date,TRADING CODE,Close,YCP*
1,6/30/2020,ACI,204.2,200.8
2,6/29/2020,ACI,200.8,197.6
3,6/28/2020,ACI,197.6,193.1
4,6/25/2020,ACI,193.1,192.5
5,6/24/2020,ACI,192.5,192.4
6,6/23/2020,ACI,192.4,191.5
7,6/22/2020,ACI,191.5,191.5
8,6/21/2020,ACI,191.5,192.5
9,6/18/2020,ACI,192.5,185.9
10,6/17/2020,ACI,185.9,186
11,6/16/2020,ACI,186,185.8
12,6/15/2020,ACI,185.8,190.5
13,6/14/2020,ACI,190.5,194.1
14,6/11/2020,ACI,194.1,189.1
15,6/10/2020,ACI,189.1,192.1
16,6/9/2020,ACI,192.1,190.4
17,6/8/2020,ACI,190.4,194.4
18,6/7/2020,ACI,194.4,192
19,6/4/2020,ACI,192,196.3
20,6/3/2020,ACI,196.3,202.5
21,6/2/2020,ACI,202.5,209.6
22,6/1/2020,ACI,209.6,216.2
23,5/31/2020,ACI,216.2,196.6
24,3/25/2020,ACI,196.6,193
25,3/24/2020,ACI,193,202.2
26,3/23/2020,ACI,202.2,190.3
27,3/22/2020,ACI,190.3,181.7
28,3/19/2020,ACI,181.7,168.4
29,3/18/2020,ACI,168.4,175.4
30,3/16/2020,ACI,175.4,181.2
31,3/15/2020,ACI,181.2,189.9
32,3/12/2020,ACI,189.9,189.4
33,3/11/2020,ACI,189.4,179.8
34,3/10/2020,ACI,179.8,172.7
35,3/9/2020,ACI,172.7,179.9
36,3/8/2020,ACI,179.9,181.9
37,3/5/2020,ACI,181.9,181.1
38,3/4/2020,ACI,181.1,180.8
39,3/3/2020,ACI,180.8,183
40,3/2/2020,ACI,183,182.4
41,3/1/2020,ACI,182.4,186.8
42,2/27/2020,ACI,186.8,189.1
43,2/26/2020,ACI,189.1,190.6
44,2/25/2020,ACI,190.6,188.9
45,2/24/2020,ACI,188.9,194.5
46,2/23/2020,ACI,194.5,194.3
47,2/20/2020,ACI,194.3,196.1
48,2/19/2020,ACI,196.1,201.6
49,2/18/2020,ACI,201.6,202
50,2/17/2020,ACI,202,198.6
51,2/16/2020,ACI,198.6,181.1
52,2/13/2020,ACI,181.1,179.2
53,2/12/2020,ACI,179.2,180.6
54,2/11/2020,ACI,180.6,178.3
55,2/10/2020,ACI,178.3,179.3
56,2/9/2020,ACI,179.3,179.9
57,2/6/2020,ACI,179.9,180.9
58,2/5/2020,ACI,180.9,177.5
59,2/4/2020,ACI,177.5,175.8
60,2/3/2020,ACI,175.8,180.9
61,2/2/2020,ACI,180.9,182.9
62,1/30/2020,ACI,182.9,198
63,1/29/2020,ACI,198,196.8
64,1/28/2020,ACI,196.8,197.9
65,1/27/2020,ACI,197.9,201.1
66,1/26/2020,ACI,201.1,199.8
67,1/23/2020,ACI,199.8,189.1
68,1/22/2020,ACI,189.1,190.3
69,1/21/2020,ACI,190.3,193.1
70,1/20/2020,ACI,193.1,189.9
71,1/19/2020,ACI,189.9,182.9
72,1/16/2020,ACI,182.9,178.8
73,1/15/2020,ACI,178.8,178.2
74,1/14/2020,ACI,178.2,181.6
75,1/13/2020,ACI,181.6,185.4
76,1/12/2020,ACI,185.4,182.9
77,1/9/2020,ACI,182.9,184.2
78,1/8/2020,ACI,184.2,186.2
79,1/7/2020,ACI,186.2,186
80,1/6/2020,ACI,186,191.1
81,1/5/2020,ACI,191.1,195.7
82,1/2/2020,ACI,195.7,182.6
83,1/1/2020,ACI,182.6,181.5
84,12/30/2019,ACI,181.5,181.2
85,12/29/2019,ACI,181.2,184.1
86,12/26/2019,ACI,184.1,183.1
87,12/24/2019,ACI,183.1,184
88,12/23/2019,ACI,184,185.3
89,12/22/2019,ACI,185.3,186.9
90,12/19/2019,ACI,186.9,186.7
91,12/18/2019,ACI,186.7,190.4
92,12/17/2019,ACI,190.4,190.7
93,12/15/2019,ACI,190.7,190.8
94,12/12/2019,ACI,190.8,192.4
95,12/11/2019,ACI,192.4,192.9
96,12/10/2019,ACI,192.9,199.9
97,12/9/2019,ACI,199.9,207.2
98,12/8/2019,ACI,207.2,218.7
99,12/5/2019,ACI,218.7,224
100,12/4/2019,ACI,224,272.5
101,12/3/2019,ACI,272.5,272.5
